Date,Total
2020-01-03,597189478.76
2020-01-04,605285263.61
2020-01-05,607193389.31
2020-01-06,610820377.09
2020-01-07,623859483.59
2020-01-08,611202041.45
2020-01-09,634092077.29
2020-01-10,590899599.31
2020-01-11,588989461.20
2020-01-12,611958881.69
2020-01-13,594343570.87
2020-01-14,613840777.58
2020-01-15,649995610.90
2020-01-16,710958871.51
2020-01-17,690305023.43
2020-01-18,729728410.48
2020-01-19,717062859.62
2020-01-20,711006247.87
2020-01-21,684534287.39
2020-01-22,718185953.20
2020-01-23,715239754.33
2020-01-24,702516142.44
2020-01-25,693795277.21
2020-01-26,690250395.52
2020-01-27,697247985.68
2020-01-28,723137109.73
2020-01-29,754159027.00
2020-01-30,769031780.47
2020-01-31,770356016.12
2020-02-01,782063930.76
2020-02-02,793026243.82
2020-02-03,815100625.99
2020-02-04,803646231.78
2020-02-05,796408036.50
2020-02-06,829432954.02
2020-02-07,865209398.53
2020-02-08,894320609.86
2020-02-09,900680060.79
2020-02-10,901706966.87
2020-02-11,854683057.50
2020-02-12,893047128.30
2020-02-13,972413588.82
2020-02-14,997429324.73
2020-02-15,1028951914.71
2020-02-16,1047855796.64
2020-02-17,1000728102.06
2020-02-18,947655420.87
2020-02-19,997092212.83
2020-02-20,969968462.55
2020-02-21,878340547.01
2020-02-22,906593012.76
2020-02-23,769638319.82
2020-02-24,936686050.77
2020-02-25,942510617.71
2020-02-26,912446477.00
2020-02-27,831700978.36
2020-02-28,823338348.78
2020-02-29,799079232.23
2020-03-01,821049791.82
2020-03-02,814223097.20
2020-03-03,805943194.30
2020-03-04,829866618.28
2020-03-05,812206214.77
2020-03-06,829487587.92
2020-03-07,842467463.60
2020-03-08,857641829.14
2020-03-09,808841001.69
2020-03-10,739899098.43
2020-03-11,741233144.68
2020-03-12,747884048.30
2020-03-13,523060961.77
2020-03-14,497072749.68
2020-03-15,497369774.13
2020-03-16,477007479.12
2020-03-17,404395491.84
2020-03-18,445560105.30
2020-03-19,439570895.57
2020-03-20,471596985.67
2020-03-21,529234451.34
2020-03-22,489531312.94
2020-03-23,482093502.94
2020-03-24,471261169.29
2020-03-25,512550111.46
2020-03-26,512944707.90
2020-03-27,519294699.08
2020-03-28,522573286.42
2020-03-29,509229192.12
2020-03-30,507491364.98
2020-03-31,519967586.08
2020-04-01,529739112.17
2020-04-02,534656355.04
2020-04-03,549645900.42
2020-04-04,577494743.03
2020-04-05,567233321.71
2020-04-06,570348839.51
2020-04-07,592372164.58
2020-04-08,641343075.70
2020-04-09,628439126.12
2020-04-10,631326674.08
2020-04-11,584527229.60
2020-04-12,589361858.05
2020-04-13,585655077.94
2020-04-14,580422725.04
2020-04-15,587438213.77
2020-04-16,674462401.36
2020-04-17,619001113.81
2020-04-18,626788068.30
2020-04-19,643065924.59
2020-04-20,674503078.94
2020-04-21,659074321.93
2020-04-22,640525237.65
2020-04-23,664132244.67
2020-04-24,675754436.30
2020-04-25,687993252.78
2020-04-26,698841141.26
2020-04-27,703406485.68
2020-04-28,711076110.06
2020-04-29,721792011.20
2020-04-30,767634529.54
2020-05-01,756431901.68
2020-05-02,770243841.73
2020-05-03,775188589.37
2020-05-04,790464318.41
2020-05-05,753256094.98
2020-05-06,755462512.16
2020-05-07,798780368.09
2020-05-08,780669065.46
2020-05-09,797777747.02
2020-05-10,802431631.11
2020-05-11,753853535.55
2020-05-12,730417170.03
2020-05-13,723829885.89
2020-05-14,735606550.79
2020-05-15,753874851.46
2020-05-16,741957946.48
2020-05-17,746323615.62
2020-05-18,762574516.05
