snapped_at,price,market_cap,total_volume
2021-12-20 00:00:00 UTC,41.27853181498506,723236051.5394745,8795967.946507255
2021-12-21 00:00:00 UTC,42.32478725818528,741916001.3234808,26551339.969572637
2021-12-22 00:00:00 UTC,43.55509432921655,764149663.1094135,17120456.592703424
2021-12-23 00:00:00 UTC,43.39691575771381,760695173.4842618,12368353.071893072
2021-12-24 00:00:00 UTC,45.031534083669605,787586783.2404273,12208107.758796364
2021-12-25 00:00:00 UTC,46.49752447809575,820574109.5958921,23889979.32418355
2021-12-26 00:00:00 UTC,45.838613852355124,802813999.2754948,14798667.068533296
2021-12-27 00:00:00 UTC,45.428429666632184,795344893.1003327,8930288.74521917
2021-12-28 00:00:00 UTC,46.20135577659923,809167033.7683198,29447851.723192766
2021-12-29 00:00:00 UTC,42.57613993367346,745142978.8800693,13296224.0827859
2021-12-30 00:00:00 UTC,41.102606004388456,716866558.27639,13528242.360158041
2021-12-31 00:00:00 UTC,41.36960244698871,724544073.1667743,8749832.39175886
2022-01-01 00:00:00 UTC,40.84788528304867,716645769.3252292,8461002.001856145
2022-01-02 00:00:00 UTC,41.719392475098466,730670269.1350465,8763151.795212558
2022-01-03 00:00:00 UTC,42.41697754447403,743450027.5146401,11596696.298032746
2022-01-04 00:00:00 UTC,41.88289766022676,733654806.4519192,13494536.774866348
2022-01-05 00:00:00 UTC,41.501873220588394,732188609.5289134,15218265.905097269
2022-01-06 00:00:00 UTC,39.76016622688825,695723622.9250846,29074995.49338854
2022-01-07 00:00:00 UTC,38.87855052458356,681422606.7050279,12395075.720858542
2022-01-08 00:00:00 UTC,37.37402261790927,652678207.5646619,24250968.391985416
2022-01-09 00:00:00 UTC,36.20105900932598,638306532.643418,11071179.688227037
2022-01-10 00:00:00 UTC,36.28101487135448,635135276.1531385,7976382.880190949
2022-01-11 00:00:00 UTC,34.721461492865735,606972960.0337207,12944055.759633722
2022-01-12 00:00:00 UTC,36.4931314241419,642270255.4062675,30128610.05655002
2022-01-13 00:00:00 UTC,37.765898566875144,661062907.6330472,12187228.984509364
2022-01-14 00:00:00 UTC,36.449034507734616,638885988.2034644,10791000.839498937
2022-01-15 00:00:00 UTC,37.75789469284488,659404532.2961353,29078397.679307356
2022-01-16 00:00:00 UTC,38.905196979283716,681443044.3265195,18848826.04865484
2022-01-17 00:00:00 UTC,38.122559361724875,667996417.6428145,9492002.504218087
2022-01-18 00:00:00 UTC,36.46134482251672,639100657.464547,8956439.346899005
2022-01-19 00:00:00 UTC,37.2096673249405,652162936.938695,28460940.485201582
2022-01-20 00:00:00 UTC,36.01511741873524,631704449.4306023,12584020.459535448
2022-01-21 00:00:00 UTC,34.51747204648965,606894941.6861025,9768007.34705458
2022-01-22 00:00:00 UTC,30.308958574468587,532237511.1222434,14138733.5692292
2022-01-23 00:00:00 UTC,29.379006360432285,509613784.42566675,35881055.3455256
2022-01-24 00:00:00 UTC,29.725739864608528,520184545.49120396,10471622.856451798
2022-01-25 00:00:00 UTC,28.647675215873978,502792109.72252023,23900799.752500836
2022-01-26 00:00:00 UTC,28.916001278751423,506986991.39471895,19110416.659549866
2022-01-27 00:00:00 UTC,29.063619281781026,510468220.56778574,23780010.526089583
2022-01-28 00:00:00 UTC,28.942953910211077,505660541.98100686,9878401.72654967
2022-01-29 00:00:00 UTC,30.246170164481928,529321039.4584609,50694009.41524107
2022-01-30 00:00:00 UTC,30.76145650658501,537099380.0112917,14620757.724744558
2022-01-31 00:00:00 UTC,30.070961563689323,527265111.1632045,7240099.894194745
2022-02-01 00:00:00 UTC,29.937420615582344,523513888.2616097,8103950.058230052
2022-02-02 00:00:00 UTC,30.32934706715804,531214217.2532618,6331087.132864295
2022-02-03 00:00:00 UTC,29.938647569586088,524020426.934835,23374803.776249517
2022-02-04 00:00:00 UTC,29.946054008753475,524531650.38452077,8570790.957089512
2022-02-05 00:00:00 UTC,32.84048754715925,575257408.9265686,17853822.22061859
2022-02-06 00:00:00 UTC,33.64046395092176,589221307.0940119,13943037.949787118
2022-02-07 00:00:00 UTC,34.55750606163084,603785231.5793812,21043616.05878724
2022-02-08 00:00:00 UTC,36.608845864621784,640667383.7973126,37032177.4415874
2022-02-09 00:00:00 UTC,35.898164539844686,626621145.0854156,28305724.658917803
2022-02-10 00:00:00 UTC,36.38187490892232,637277228.8272667,15639557.059894485
2022-02-11 00:00:00 UTC,36.188765831247494,633683809.3719901,33716533.98638801
2022-02-12 00:00:00 UTC,33.812782286948995,590953986.9905434,14885260.754499758
2022-02-13 00:00:00 UTC,33.2100514534875,581111649.0749235,11042010.428933406
2022-02-14 00:00:00 UTC,33.253801472959964,582766649.8967928,8220814.777573339
2022-02-15 00:00:00 UTC,32.588594988352085,570984396.7801217,9076473.460282335
2022-02-16 00:00:00 UTC,34.48159921891135,604239154.8832675,10764383.913730929
2022-02-17 00:00:00 UTC,34.26990086424454,600474725.099059,10792328.437250646
2022-02-18 00:00:00 UTC,31.58442257193625,553926604.8897591,8906544.51678442
2022-02-19 00:00:00 UTC,30.99556894728897,544090021.8007227,8671585.690740606
2022-02-20 00:00:00 UTC,30.450623803605676,532573319.08628595,5336531.2828676775
2022-02-21 00:00:00 UTC,29.653416985319534,519472122.67999655,8580726.635130486
2022-02-22 00:00:00 UTC,27.48395822226915,482745125.62713987,10478266.207978051
2022-02-23 00:00:00 UTC,28.4816279934908,499445019.09545016,10034877.578369029
2022-02-24 00:00:00 UTC,28.357253893494597,496922821.075875,6796106.030826103
2022-02-25 00:00:00 UTC,27.935577815969257,489355961.99868697,12494718.59229327
2022-02-26 00:00:00 UTC,29.360069819296328,514591234.40195596,13540285.642835977
2022-02-27 00:00:00 UTC,31.180295645173217,545388063.3082691,52907881.35389608
2022-02-28 00:00:00 UTC,29.593314391535376,517498855.6746117,12197999.982964482
2022-03-01 00:00:00 UTC,32.046170981664915,559731528.1082362,14570911.933732076
2022-03-02 00:00:00 UTC,32.905021538253436,574709217.9951195,32580653.577514224
2022-03-03 00:00:00 UTC,31.766331965503,556210836.7487798,17065220.239997413
2022-03-04 00:00:00 UTC,31.344609198340684,549391371.9385242,22503395.07964691
2022-03-05 00:00:00 UTC,30.21644514831402,531108717.0242987,21327305.391352385
2022-03-06 00:00:00 UTC,30.163842936440048,528143317.7471011,8188291.242546082
2022-03-07 00:00:00 UTC,28.742437394802973,502986682.5309611,6537697.030668509
2022-03-08 00:00:00 UTC,28.650518038144,502432826.569316,18797885.75892887
2022-03-09 00:00:00 UTC,28.803634949493453,504355683.48402137,8844793.381647581
2022-03-10 00:00:00 UTC,31.024887711695886,543641485.1024014,16080564.14678603
2022-03-11 00:00:00 UTC,30.982111189228032,543218285.394257,78767117.06247377
2022-03-12 00:00:00 UTC,30.477229367377582,534976033.4854769,22063832.56785411
2022-03-13 00:00:00 UTC,30.291824325988888,530104639.83271277,9676982.730693718
2022-03-14 00:00:00 UTC,28.957518157898946,505433342.0449781,14224833.34118269
